rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
2,106,-5.46806353557301,0,0,1.91487256086124,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
3,106,-5.11625881153592,0,0,1.567400385281,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
4,106,-5.53590683040294,0,0,1.54272017464053,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
5,106,-5.36441075268973,0,0,1.5444270439036,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
6,106,-5.38575590526652,0,0,1.71138118664934,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
7,106,-5.97375275300336,0,0,1.55892177717742,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
8,106,-5.87193015443181,0,0,1.71604148197824,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
9,106,-5.89040537010621,0,0,1.56158135915575,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
10,106,-5.26669120725689,0,0,1.75541795632602,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
1,201,-6.23960430030038,0,0,1.55196633419091,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
2,201,-6.2971603247782,0,0,1.66129431614246,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
3,201,-6.40196961274982,0,0,1.54795536394513,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Convalescent
