rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
8,205,-7.01350011884755,0,0,1.62411350981029,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
9,205,-7.14268662563936,0,0,1.54185467515815,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
10,205,-7.68019061191224,0,0,1.4598342854145,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
1,206,-7.23704039677567,0,0,1.89002899700197,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
2,206,-7.01429566252114,0,0,1.67146954421866,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
3,206,-7.35903906575184,0,0,2.15395418829446,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
4,206,-7.62505553157053,0,0,1.54996320191848,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
5,206,-7.3136963115701,0,0,1.83907235991954,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
6,206,-7.18392933209317,0,0,2.31768638683086,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
7,206,-7.102574265299,0,0,2.13200365056257,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
8,206,-6.91990076761817,0,0,3.63443856598262,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
9,206,-7.29120115244793,0,0,2.39284607246017,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
10,206,-7.32808105078736,0,0,1.4980360813545,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
1,301,-7.98223780795381,0,0,1.8308812708425,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
2,301,-7.70645381755806,0,0,1.91732369971729,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
3,301,-7.93453640963207,0,0,1.37136835737579,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
4,301,-7.78689528755254,0,0,1.60624000904823,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
5,301,-7.76496660462026,0,0,2.03346715617163,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
6,301,-8.01354947355897,0,0,1.08025981892036,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
7,301,-8.10546727810043,0,0,0.993858174870282,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
8,301,-7.73138302814717,0,0,1.6898047349804,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
9,301,-7.90695871800821,0,0,1.84731425928416,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
10,301,-8.32515828179419,0,0,1.4463796417208,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
1,302,-8.36452827855093,0,0,1.83606719107239,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
2,302,-8.4088444561631,0,0,1.68648042401377,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
3,302,-8.40042157068126,0,0,1.21442950410708,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
4,302,-7.90882592150985,0,0,1.79125201917404,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
5,302,-7.69332088298573,0,0,1.85279293133753,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
6,302,-8.22374487268181,0,0,1.50635145501802,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
7,302,-8.17144920228971,0,0,2.39039798534124,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
8,302,-8.26959687096239,0,0,1.73617456183413,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
9,302,-8.29884219568373,0,0,1.63510060063926,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
10,302,-8.01890302896281,0,0,2.77165649328817,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
1,303,-8.18727546067763,0,0,1.86654651711773,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
2,303,-7.80490323680164,0,0,1.52122024907753,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
3,303,-8.03211017003726,0,0,1.90442990386001,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Conv-CD40,G_convCD40
