rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
9,104,-6.78539059020413,0,0,0.841117655473518,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
10,104,-6.22676168040285,0,0,1.16921831027015,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
1,105,-6.90762560240638,0,0,1.57206712665463,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
2,105,-6.97760653082928,0,0,1.69287893173683,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
3,105,-7.08334333787114,0,0,1.85418127759448,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
4,105,-7.37481720711357,0,0,1.41374258381394,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
5,105,-7.55160826361239,0,0,1.10762372627413,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
6,105,-7.24206304561129,0,0,1.29286038148009,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
7,105,-7.18189850713003,0,0,1.53252271856134,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
8,105,-6.82496177732553,0,0,1.88022156837299,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
9,105,-7.01642543306432,0,0,1.51712404969858,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
10,105,-7.17593659094518,0,0,1.15858528280161,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
1,106,-6.76643770262124,0,0,1.14037753776504,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
2,106,-6.58089721662114,0,0,1.57149483431224,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
3,106,-6.89524938077564,0,0,1.31817798110003,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
4,106,-6.64299109933706,0,0,1.35005213923424,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
5,106,-6.88631622500153,0,0,1.59018973245018,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
6,106,-6.52613578703995,0,0,1.25031697111868,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
7,106,-7.19491642329064,0,0,0.978879637332933,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
8,106,-6.79698862138848,0,0,1.02381905941037,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
9,106,-7.01900057711963,0,0,1.26530191153697,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
10,106,-6.89418899010352,0,0,1.16914821956761,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
1,201,-6.92786389024296,0,0,1.50500471702373,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
2,201,-7.03963810620611,0,0,1.9909843097503,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
3,201,-7.35613395464504,0,0,1.33077685054133,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
4,201,-7.10123490044081,0,0,1.23826630073434,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
5,201,-7.14238196454006,0,0,1.27561383896493,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
6,201,-6.78794374352417,0,0,1.72860059545777,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Convalescent
