rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
4,104,-7.0599030713663,0,0,1.14082800628958,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
5,104,-7.42071610643546,0,0,0.714849004829501,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
6,104,-7.43056986350149,0,0,0.793774664591334,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
7,104,-7.16367468879212,0,0,0.794527166351582,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
8,104,-7.42507740091751,0,0,0.801978532805251,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
9,104,-7.12664832811356,0,0,0.900550122390929,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
10,104,-7.33041411730924,0,0,1.03180390791135,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
1,105,-7.63251493032447,0,0,0.84868046899427,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
2,105,-7.16227342001714,0,0,1.31325451331818,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
3,105,-6.90706970202817,0,0,1.43107700262537,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
4,105,-7.4256000965596,0,0,1.15218679690322,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
5,105,-7.28105418594823,0,0,1.07170937778086,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
6,105,-7.15979747659439,0,0,1.40021507450125,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
7,105,-7.45201164077533,0,0,0.793049729477148,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
8,105,-7.21370998878948,0,0,1.01077324597423,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
9,105,-7.06168925486393,0,0,1.28479582655429,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
10,105,-7.54088817384443,0,0,1.30770120539057,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
1,106,-7.26665201298253,0,0,1.21509973354924,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
2,106,-7.33300103649178,0,0,1.27102949080114,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
3,106,-7.33386411710436,0,0,1.23446857551578,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
4,106,-7.22338547884903,0,0,1.13174481162819,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
5,106,-7.53452392781062,0,0,0.954777391147523,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
6,106,-7.22543604037748,0,0,1.32430288379268,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
7,106,-7.65518249673446,0,0,1.1374212041927,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
8,106,-7.44955704880854,0,0,1.40154240264484,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
9,106,-7.30041514032422,0,0,1.37778316815769,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
10,106,-7.37332565437748,0,0,1.13039147603743,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
1,201,-7.23635204415306,0,0,1.18287806983367,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
2,201,-7.34764963538808,0,0,0.946436898452923,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
3,201,-7.6194249420547,0,0,1.01156879444846,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
4,201,-7.34613476489928,0,0,1.17930273220838,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
5,201,-7.22661471379011,0,0,1.17012694618016,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
6,201,-7.50828859673863,0,0,1.50712722430108,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
7,201,-7.36578485513978,0,0,1.60770975273246,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
8,201,-7.57879125742605,0,0,1.37991267864637,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
9,201,-7.46802337116355,0,0,1.60491592001837,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
10,201,-7.52337139099902,0,0,1.51026739905408,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
1,202,-7.69814080555247,0,0,2.026135157323,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
2,202,-7.97442606388192,0,0,1.74098202470913,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
3,202,-7.7227120054197,0,0,3.22735595682093,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
4,202,-8.02367160372681,0,0,1.78538664137399,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
5,202,-7.30871044940722,0,0,1.70384852110591,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
6,202,-7.813544647786,0,0,1.36041293524992,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
7,202,-7.93420015115348,0,0,1.71349910944352,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
8,202,-7.63370390536833,0,0,3.85443519548166,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
9,202,-7.41289683183863,0,0,3.26682535478022,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Convalescent
