rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group
8,303,-0.430818493032121,0,0,0.140915534250649,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,303,-0.203279042985063,0,0,0.214101309523724,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,303,0.31030765220396,0,0,0.0566293668229425,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,304,-0.24957609122485,0,0,-0.594740151691917,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,304,-0.0928089125724928,0,0,-0.414105371517312,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,304,-0.273709787245596,0,0,0.247098191068171,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,304,-0.39640595517957,0,0,-0.476973192396001,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,304,-0.13213102010727,0,0,0.0351682288185499,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,304,0.328052978951952,0,0,0.135295128515543,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,304,-0.372985876364331,0,0,-0.561676536468577,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,304,-0.0963032256001113,0,0,-0.140719434340075,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,304,-0.193648498274377,0,0,-0.326675861937246,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,304,0.217457895567614,0,0,-0.145462945499934,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,305,0.136409655677361,0,0,0.200020893372201,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,305,0.0130703294573341,0,0,0.35208045479667,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,305,-0.426184741033174,0,0,-0.145444362717581,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,305,0.351355845308161,0,0,0.492197992402052,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,305,0.0319154082498743,0,0,-0.0546752663748133,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,305,0.328649728181918,0,0,0.361936550536784,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,305,-0.258062707124166,0,0,-0.0832619403743143,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,305,0.326779180387284,0,0,0.617607727845562,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,305,-0.302769731577238,0,0,0.22135322307258,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,305,0.218769830815289,0,0,1.15333606136845,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,306,0.353597171567473,0,0,-0.739190176784507,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,306,-0.261603027299663,0,0,0.16758348554069,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,306,-0.402261372194245,0,0,0.4544636225938,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,306,-0.340444125207665,0,0,0.0782397610755503,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,306,-0.0993109506236224,0,0,0.0911338223584466,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,306,-0.109830907001519,0,0,-0.137837728021731,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,306,-0.548757625347108,0,0,-0.69040414451437,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,306,-0.334421944802429,0,0,-0.164116525217476,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,306,0.234660989147029,0,0,0.869988922106152,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,306,-0.0830752964744423,0,0,0.375579549584197,0,0,0,0,0,0,0,0,0,0,Conv-CD40
