rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
5,302,-7.46483202772243,0,0,2.32728908080026,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
6,302,-8.02243534140231,0,0,1.95483226246952,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
7,302,-7.94481499757062,0,0,2.94094056349748,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
8,302,-8.05885820341343,0,0,2.18078354623689,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
9,302,-8.08499271859378,0,0,2.07198379644735,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
10,302,-7.79513409684908,0,0,3.22338418147313,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
1,303,-7.96096342752963,0,0,2.33213474225328,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
2,303,-7.57606094942442,0,0,1.92010770708501,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
3,303,-7.80884926336452,0,0,2.35422635463703,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
4,303,-7.47977199894351,0,0,1.99735877307394,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
5,303,-7.6543365504634,0,0,3.13728158797382,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
6,303,-7.72105386688388,0,0,2.54747972787642,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
7,303,-7.87599962999696,0,0,2.33169962682851,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
8,303,-8.24898242887055,0,0,2.06573815007673,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
9,303,-7.52007547689766,0,0,2.4075338283362,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
10,303,-8.30666498056857,0,0,2.18989783643583,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
1,304,-7.80618781540056,0,0,1.67614560157968,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
2,304,-7.88618037527066,0,0,1.56434547905819,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
3,304,-7.47715303369837,0,0,1.81984147626498,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
4,304,-7.47221197617186,0,0,1.40386269885115,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
5,304,-7.75452556549717,0,0,1.710167386534,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
6,304,-7.77849255837588,0,0,1.64141995176772,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
7,304,-7.97604124741444,0,0,1.3787848266727,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
8,304,-7.65930312100439,0,0,1.61205930615452,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
9,304,-7.66038384564199,0,0,2.16235946515111,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
10,304,-7.41896174225759,0,0,1.91383963392027,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
1,305,-7.69251233244814,0,0,1.96786039479442,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
2,305,-8.10352793287778,0,0,2.0744143962119,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
3,305,-8.14125900893291,0,0,1.80264203432281,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
4,305,-7.78265353640895,0,0,2.40567291888694,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
5,305,-7.474506496842,0,0,2.38458799885764,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
6,305,-7.94465148563579,0,0,2.47122942665822,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
7,305,-7.29306761352398,0,0,2.09893835671326,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
8,305,-7.42159539403837,0,0,2.35320528487926,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
9,305,-8.08179259667933,0,0,1.89347593258743,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
10,305,-7.62808443561359,0,0,2.1998638248669,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
1,306,-7.62427698490942,0,0,2.17179703213347,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
2,306,-7.91978443553661,0,0,2.45532438136051,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
3,306,-7.39815781575874,0,0,2.14215283313822,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
4,306,-8.3591205105782,0,0,1.6646110021564,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
5,306,-7.67074041761732,0,0,1.68655029468208,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
6,306,-7.58232142087983,0,0,1.88249650674001,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
7,306,-7.0254392231571,0,0,1.43730221433375,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
8,306,-7.90072736143084,0,0,1.92779192867479,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
9,306,-7.52615917096122,0,0,2.17398082952665,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
10,306,-8.04648374271119,0,0,1.94751765244798,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
