time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode
14,105,2664.88,4.75039e-10,1.18682e-7,6.96229e-8,7.00278e-5,-1.10169e-77,28589.9,5.88957e-6,3.13476e-5,0.00011933,0.125094,-6.11897e-79,2623.53,3.95982e-10,9.78326e-8,5.7546e-8,5.78841e-5,-6.90607e-82,28563.2,5.3964e-6,2.83495e-5,0.000107763,0.113046,-3.83698e-83,2417.31,4.64756e-10,1.21009e-7,7.02953e-8,7.06893e-5,3.79133e-79,28400.8,8.10164e-6,4.18193e-5,0.000156363,0.164301,2.09756e-80
20,105,2664.88,6.83173e-15,1.70681e-12,1.00128e-12,1.0071e-9,-1.09738e-111,28589.9,2.3197e-9,1.23468e-8,4.70001e-8,4.92705e-5,-6.09447e-113,2623.53,5.20756e-15,1.28659e-12,7.56788e-13,7.61233e-10,8.74103e-116,28563.2,2.02882e-9,1.06583e-8,4.05145e-8,4.25008e-5,4.85604e-117,2417.31,6.6609e-15,1.7343e-12,1.00748e-12,1.01312e-9,-2.32584e-113,28400.8,3.54275e-9,1.8287e-8,6.83758e-8,7.18466e-5,-1.28665e-114
0,106,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,106,1103.13,550.934,3810.72,938.586,939013,20.2676,27192.7,343.359,1560.05,3529.93,3.6495e+6,1.12584,1162.41,548.462,3777.08,921.194,921653,20.2681,27285.5,332.969,1519.52,3428.35,3.54226e+6,1.12587,1055.48,552.868,3820.47,931.921,932312,20.2667,27117.6,350.674,1586.25,3568.65,3.6916e+6,1.12578
2,106,1099.57,28.3529,1130.07,410.181,410761,4.31162e-8,26836.9,114.13,655.869,1925.16,2.0263e+6,2.39476e-9,1158.82,28.2381,1115.15,401.324,401922,4.31513e-8,26947.5,108.607,631.941,1855.15,1.95107e+6,2.39672e-9,1052.04,28.4184,1129.96,406.374,406926,4.30677e-8,26752.2,117.109,667.452,1946.33,2.05023e+6,2.39206e-9
3,106,1098.34,1.7006,285.794,115.776,115998,2.05399e-15,26673.3,48.1476,270.753,814.146,860886,1.14065e-16,1157.58,1.69638,280.573,112.781,113008,-3.19234e-15,26793.5,45.287,257.742,775.743,819675,-1.77315e-16,1050.85,1.69357,284.939,114.412,114624,-1.13691e-16,26584.1,49.4674,275.922,824.051,872090,-6.32868e-18
4,106,1098.01,0.160066,70.2835,29.3748,29437.6,-7.88936e-24,26605.2,20.0288,112.39,338.367,358010,-4.38095e-25,1157.25,0.159889,68.6283,28.4714,28535.2,2.22199e-22,26730,18.6232,105.727,318.606,336865,1.23418e-23,1050.54,0.156835,69.8608,28.9468,29006.5,8.598e-24,26514.1,20.6029,114.69,342.947,363159,4.78608e-25
6,106,1097.91,0.00592623,4.20007,1.77391,1777.89,2.19984e-35,26565.2,3.44716,19.3622,58.3174,61702.8,1.22155e-36,1157.15,0.00587467,4.05645,1.70093,1704.93,1.27531e-34,26693.4,3.13113,17.7912,53.6332,56707.5,7.08378e-36,1050.44,0.00567785,4.1491,1.73748,1741.25,-3.45726e-35,26472.9,3.55509,19.8102,59.2627,62754.9,-1.92445e-36
9,106,1097.91,8.42668e-5,0.0612127,0.0258704,25.9287,-4.53937e-49,26557.5,0.246221,1.38329,4.16682,4408.63,-2.52058e-50,1157.15,8.21666e-5,0.0581529,0.0244009,24.4586,-2.75453e-48,26686.5,0.215925,1.22713,3.69967,3911.68,-1.52996e-49,1050.44,7.98826e-5,0.0599102,0.025105,25.1597,7.14462e-49,26464.9,0.254916,1.4208,4.25084,4501.25,3.97682e-50
14,106,1097.91,7.32536e-8,5.3222e-5,2.24935e-5,0.0225442,-3.28846e-74,26556.9,0.003028,0.0170119,0.0512445,54.2182,-1.82569e-75,1157.15,6.94915e-8,4.9191e-5,2.06407e-5,0.0206895,-3.02627e-73,26686,0.00250433,0.0142327,0.0429103,45.3693,-1.68066e-74,1050.44,6.83734e-8,5.12882e-5,2.14922e-5,0.021539,5.36882e-74,26464.3,0.00315525,0.0175864,0.0526166,55.7161,2.98791e-75
