ID,time,y1,y1_simBlq,censored,split,color,filter
NHP30,0,2.67761,-4.63483,1,All,#4682B4,0
NHP30,1,4.17963,4.17963,0,All,#4682B4,0
NHP30,2,5.61661,5.61661,0,All,#4682B4,0
NHP30,3,2.67761,1.8739,1,All,#4682B4,0
NHP30,4,2.67761,1.85191,1,All,#4682B4,0
NHP30,5,2.67761,2.15323,1,All,#4682B4,0
NHP30,7,2.67761,1.21342,1,All,#4682B4,0
NHP30,9,2.67761,-0.163878,1,All,#4682B4,0
NHP30,14,2.67761,-3.8468,1,All,#4682B4,0
NHP30,23,2.67761,-2.7651,1,All,#4682B4,0
NHP31,0,2.67761,-3.49782,1,All,#4682B4,0
NHP31,1,4.94395,4.94395,0,All,#4682B4,0
NHP31,2,4.68351,4.68351,0,All,#4682B4,0
NHP31,4,4.4279,4.4279,0,All,#4682B4,0
NHP31,5,3.66557,3.66557,0,All,#4682B4,0
NHP31,7,3.82357,3.82357,0,All,#4682B4,0
NHP31,10,2.67761,0.883722,1,All,#4682B4,0
NHP31,14,2.67761,-0.599531,1,All,#4682B4,0
NHP31,23,2.67761,-1.26433,1,All,#4682B4,0
NHP31,29,2.67761,-3.15718,1,All,#4682B4,0
NHP32,0,2.67761,-1.17626,1,All,#4682B4,0
NHP32,1,2.67761,2.12567,1,All,#4682B4,0
NHP32,3,3.87332,3.87332,0,All,#4682B4,0
NHP32,4,2.67761,1.39358,1,All,#4682B4,0
NHP32,5,2.67761,0.919391,1,All,#4682B4,0
NHP32,7,2.67761,0.0572112,1,All,#4682B4,0
NHP32,9,2.67761,-1.21564,1,All,#4682B4,0
NHP32,14,2.67761,-2.84376,1,All,#4682B4,0
NHP32,23,2.67761,-4.10607,1,All,#4682B4,0
NHP33,0,2.67761,-3.62899,1,All,#4682B4,0
NHP33,1,4.79573,4.79573,0,All,#4682B4,0
NHP33,2,6.25168,6.25168,0,All,#4682B4,0
NHP33,3,5.32285,5.32285,0,All,#4682B4,0
NHP33,4,4.84668,4.84668,0,All,#4682B4,0
NHP33,5,5.89199,5.89199,0,All,#4682B4,0
NHP33,7,2.67761,1.58318,1,All,#4682B4,0
NHP33,10,2.67761,-1.64731,1,All,#4682B4,0
NHP33,14,2.67761,-4.65163,1,All,#4682B4,0
NHP33,23,2.67761,-4.1202,1,All,#4682B4,0
NHP33,29,2.67761,-3.18223,1,All,#4682B4,0
NHP34,0,2.67761,-3.88976,1,All,#4682B4,0
NHP34,1,5.317,5.317,0,All,#4682B4,0
NHP34,2,4.98976,4.98976,0,All,#4682B4,0
NHP34,3,4.30523,4.30523,0,All,#4682B4,0
NHP34,4,3.68241,3.68241,0,All,#4682B4,0
NHP34,5,3.6152,3.6152,0,All,#4682B4,0
NHP34,7,4.27602,4.27602,0,All,#4682B4,0
NHP34,10,2.67761,2.30652,1,All,#4682B4,0
NHP34,14,2.67761,1.39764,1,All,#4682B4,0
