rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
7,104,-5.74409857238654,0,0,1.53423692027159,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
8,104,-5.54504833024986,0,0,1.50418981115206,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
9,104,-5.71314619694264,0,0,1.61619527684631,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
10,104,-5.40415762550551,0,0,1.81035205568791,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
1,105,-6.24642048112525,0,0,1.93188227022768,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
2,105,-6.13575354533757,0,0,2.03591505147376,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
3,105,-6.17826878450386,0,0,2.13059299369607,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
4,105,-5.98251755018568,0,0,2.06202225284632,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
5,105,-5.93185085275021,0,0,2.07857400399106,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
6,105,-6.19577057607538,0,0,2.23934109082314,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
7,105,-6.16568470888415,0,0,1.91167731503207,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
8,105,-6.04086823355532,0,0,2.5351828444724,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
9,105,-6.18181829058281,0,0,2.13196765302718,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
10,105,-6.23052670488376,0,0,2.05642085636096,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
